Filename:  P:\FYS-1320-compton-data\110_fail.mca
Description:  
TimeStamp:  03/09/2017 09:51:44

Calibration Information
Label:  Channel
Channel	Value
623.7	13.95
795.56	17.74
2664.63	59.54
A	B	C
-0.0131686	0.0223487	0

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
13.51	14.16	0.000	0	42	-0.01	0	BAD
17.37	18.16	0.000	0	47	-0.01	0	BAD
58.88	60.13	0.187	131	158	59.49	10.44	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	2
37	0
38	1
39	1
40	6
41	3
42	1
43	3
44	2
45	4
46	4
47	6
48	14
49	4
50	3
51	6
52	5
53	4
54	9
55	9
56	6
57	5
58	11
59	10
60	9
61	8
62	8
63	9
64	12
65	13
66	11
67	13
68	17
69	23
70	18
71	20
72	15
73	16
74	17
75	16
76	12
77	15
78	19
79	21
80	14
81	19
82	17
83	21
84	13
85	19
86	16
87	14
88	8
89	18
90	20
91	14
92	12
93	12
94	11
95	11
96	9
97	21
98	18
99	16
100	11
101	22
102	18
103	15
104	16
105	15
106	22
107	13
108	18
109	17
110	16
111	18
112	18
113	13
114	25
115	25
116	15
117	15
118	10
119	18
120	17
121	18
122	12
123	11
124	18
125	18
126	20
127	17
128	12
129	18
130	16
131	10
132	15
133	13
134	20
135	14
136	10
137	12
138	11
139	9
140	14
141	15
142	18
143	10
144	19
145	18
146	6
147	18
148	22
149	10
150	18
151	13
152	15
153	12
154	12
155	12
156	15
157	16
158	12
159	13
160	11
161	11
162	7
163	16
164	9
165	12
166	15
167	14
168	6
169	12
170	11
171	10
172	10
173	13
174	16
175	9
176	11
177	11
178	7
179	14
180	10
181	17
182	8
183	9
184	15
185	13
186	13
187	9
188	19
189	13
190	15
191	14
192	6
193	12
194	11
195	11
196	9
197	5
198	7
199	8
200	13
201	7
202	15
203	12
204	13
205	15
206	12
207	10
208	6
209	14
210	10
211	16
212	10
213	10
214	10
215	12
216	12
217	16
218	21
219	14
220	13
221	14
222	10
223	10
224	8
225	12
226	19
227	10
228	13
229	12
230	15
231	14
232	13
233	9
234	8
235	6
236	17
237	14
238	9
239	5
240	10
241	14
242	13
243	15
244	8
245	11
246	14
247	11
248	13
249	16
250	14
251	18
252	12
253	9
254	19
255	14
256	15
257	9
258	14
259	12
260	10
261	20
262	9
263	14
264	13
265	15
266	10
267	9
268	20
269	11
270	16
271	14
272	11
273	12
274	11
275	8
276	9
277	10
278	9
279	16
280	11
281	17
282	12
283	14
284	21
285	28
286	17
287	22
288	17
289	20
290	13
291	11
292	10
293	9
294	13
295	14
296	14
297	8
298	5
299	11
300	13
301	15
302	10
303	14
304	11
305	10
306	10
307	15
308	7
309	16
310	15
311	9
312	18
313	16
314	15
315	8
316	14
317	13
318	14
319	15
320	13
321	12
322	24
323	13
324	11
325	18
326	10
327	16
328	15
329	15
330	13
331	17
332	24
333	10
334	18
335	17
336	16
337	19
338	25
339	11
340	12
341	11
342	16
343	13
344	13
345	10
346	15
347	9
348	15
349	12
350	13
351	12
352	10
353	19
354	12
355	21
356	17
357	15
358	22
359	26
360	19
361	14
362	16
363	20
364	16
365	19
366	11
367	14
368	9
369	9
370	13
371	12
372	11
373	10
374	6
375	13
376	11
377	9
378	13
379	16
380	10
381	17
382	29
383	22
384	25
385	33
386	19
387	31
388	17
389	25
390	21
391	18
392	11
393	20
394	16
395	15
396	13
397	7
398	10
399	8
400	9
401	5
402	13
403	5
404	1
405	7
406	10
407	7
408	7
409	10
410	8
411	9
412	4
413	7
414	14
415	6
416	8
417	6
418	7
419	1
420	8
421	3
422	3
423	8
424	8
425	4
426	8
427	2
428	6
429	12
430	5
431	7
432	5
433	8
434	6
435	4
436	4
437	4
438	4
439	2
440	1
441	7
442	6
443	3
444	1
445	8
446	0
447	7
448	2
449	1
450	4
451	3
452	0
453	3
454	0
455	7
456	5
457	6
458	4
459	13
460	5
461	5
462	9
463	8
464	7
465	13
466	25
467	21
468	26
469	36
470	36
471	43
472	47
473	42
474	39
475	35
476	31
477	27
478	23
479	19
480	16
481	14
482	11
483	8
484	7
485	5
486	5
487	7
488	4
489	5
490	7
491	2
492	1
493	2
494	4
495	0
496	3
497	1
498	1
499	2
500	1
501	1
502	2
503	3
504	1
505	5
506	1
507	0
508	1
509	6
510	1
511	0
512	2
513	5
514	5
515	1
516	0
517	4
518	7
519	0
520	2
521	2
522	1
523	2
524	0
525	2
526	2
527	3
528	2
529	1
530	4
531	2
532	2
533	3
534	3
535	2
536	4
537	5
538	4
539	3
540	2
541	5
542	4
543	0
544	5
545	2
546	3
547	4
548	6
549	7
550	13
551	6
552	10
553	14
554	9
555	12
556	12
557	16
558	14
559	21
560	16
561	21
562	33
563	41
564	38
565	55
566	44
567	64
568	37
569	45
570	33
571	22
572	29
573	30
574	14
575	19
576	11
577	11
578	3
579	12
580	9
581	9
582	5
583	8
584	5
585	13
586	16
587	10
588	5
589	2
590	3
591	1
592	3
593	1
594	2
595	4
596	2
597	3
598	2
599	1
600	0
601	1
602	1
603	1
604	0
605	4
606	1
607	0
608	2
609	1
610	0
611	3
612	2
613	1
614	0
615	1
616	2
617	1
618	1
619	2
620	1
621	2
622	1
623	0
624	3
625	2
626	2
627	1
628	0
629	5
630	2
631	3
632	3
633	0
634	3
635	0
636	2
637	0
638	2
639	3
640	2
641	2
642	0
643	1
644	2
645	2
646	2
647	1
648	0
649	1
650	5
651	2
652	4
653	1
654	3
655	5
656	3
657	7
658	6
659	4
660	5
661	1
662	2
663	7
664	6
665	9
666	4
667	4
668	4
669	4
670	2
671	3
672	3
673	4
674	3
675	3
676	1
677	1
678	6
679	2
680	3
681	5
682	3
683	6
684	3
685	3
686	4
687	1
688	1
689	1
690	3
691	1
692	0
693	1
694	1
695	2
696	0
697	0
698	0
699	1
700	2
701	1
702	0
703	4
704	7
705	3
706	4
707	0
708	4
709	3
710	3
711	0
712	4
713	2
714	0
715	2
716	2
717	2
718	4
719	0
720	1
721	0
722	3
723	0
724	0
725	1
726	2
727	1
728	0
729	2
730	0
731	0
732	3
733	1
734	0
735	0
736	2
737	0
738	1
739	4
740	1
741	0
742	2
743	0
744	0
745	2
746	1
747	0
748	1
749	2
750	0
751	1
752	1
753	0
754	0
755	3
756	2
757	0
758	3
759	1
760	0
761	0
762	2
763	1
764	1
765	1
766	1
767	0
768	0
769	0
770	0
771	2
772	0
773	1
774	2
775	1
776	5
777	2
778	1
779	4
780	4
781	1
782	3
783	2
784	4
785	3
786	2
787	2
788	1
789	4
790	0
791	1
792	0
793	1
794	0
795	2
796	1
797	1
798	1
799	0
800	1
801	2
802	0
803	1
804	0
805	0
806	1
807	2
808	1
809	0
810	0
811	1
812	1
813	0
814	0
815	0
816	1
817	1
818	1
819	0
820	0
821	0
822	1
823	0
824	1
825	2
826	1
827	1
828	1
829	1
830	2
831	1
832	0
833	1
834	1
835	2
836	1
837	0
838	1
839	2
840	0
841	0
842	1
843	0
844	1
845	1
846	0
847	0
848	1
849	0
850	1
851	0
852	0
853	2
854	0
855	1
856	1
857	0
858	0
859	2
860	1
861	1
862	0
863	0
864	0
865	1
866	1
867	3
868	0
869	1
870	1
871	1
872	1
873	1
874	2
875	0
876	0
877	0
878	1
879	2
880	0
881	1
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	1
892	0
893	1
894	0
895	0
896	0
897	2
898	1
899	1
900	0
901	3
902	0
903	2
904	0
905	2
906	1
907	4
908	1
909	3
910	1
911	0
912	1
913	1
914	2
915	0
916	0
917	3
918	4
919	0
920	1
921	1
922	0
923	0
924	1
925	3
926	1
927	0
928	0
929	0
930	2
931	0
932	0
933	1
934	1
935	1
936	0
937	1
938	1
939	3
940	0
941	4
942	3
943	2
944	0
945	1
946	1
947	2
948	3
949	1
950	0
951	1
952	0
953	3
954	1
955	2
956	0
957	2
958	3
959	4
960	2
961	4
962	1
963	2
964	1
965	2
966	1
967	5
968	4
969	3
970	2
971	4
972	1
973	7
974	3
975	11
976	12
977	8
978	13
979	19
980	14
981	21
982	24
983	38
984	30
985	47
986	44
987	51
988	46
989	59
990	64
991	64
992	53
993	52
994	49
995	50
996	49
997	45
998	31
999	25
1000	29
1001	16
1002	14
1003	8
1004	6
1005	6
1006	8
1007	1
1008	3
1009	5
1010	2
1011	3
1012	4
1013	4
1014	2
1015	0
1016	1
1017	2
1018	1
1019	5
1020	9
1021	7
1022	17
1023	25
1024	26
1025	32
1026	30
1027	38
1028	31
1029	53
1030	55
1031	61
1032	66
1033	73
1034	82
1035	89
1036	78
1037	76
1038	80
1039	69
1040	63
1041	50
1042	72
1043	43
1044	32
1045	43
1046	31
1047	27
1048	19
1049	12
1050	9
1051	8
1052	3
1053	2
1054	7
1055	2
1056	1
1057	1
1058	1
1059	0
1060	1
1061	0
1062	1
1063	1
1064	2
1065	0
1066	0
1067	2
1068	0
1069	2
1070	3
1071	1
1072	2
1073	0
1074	2
1075	2
1076	1
1077	2
1078	0
1079	0
1080	2
1081	0
1082	0
1083	1
1084	0
1085	0
1086	0
1087	1
1088	2
1089	4
1090	1
1091	3
1092	1
1093	1
1094	2
1095	3
1096	1
1097	0
1098	3
1099	3
1100	4
1101	0
1102	3
1103	2
1104	3
1105	5
1106	6
1107	3
1108	7
1109	6
1110	7
1111	8
1112	13
1113	20
1114	16
1115	16
1116	17
1117	22
1118	29
1119	30
1120	21
1121	18
1122	26
1123	30
1124	22
1125	26
1126	20
1127	22
1128	22
1129	26
1130	31
1131	33
1132	19
1133	27
1134	17
1135	23
1136	27
1137	13
1138	12
1139	15
1140	7
1141	11
1142	4
1143	6
1144	4
1145	7
1146	2
1147	3
1148	2
1149	2
1150	3
1151	2
1152	2
1153	1
1154	0
1155	2
1156	3
1157	3
1158	6
1159	4
1160	11
1161	12
1162	10
1163	14
1164	11
1165	15
1166	20
1167	25
1168	15
1169	26
1170	25
1171	17
1172	13
1173	16
1174	12
1175	12
1176	14
1177	13
1178	4
1179	12
1180	4
1181	6
1182	4
1183	4
1184	6
1185	3
1186	4
1187	3
1188	5
1189	3
1190	3
1191	5
1192	7
1193	5
1194	4
1195	4
1196	3
1197	2
1198	7
1199	0
1200	4
1201	2
1202	2
1203	0
1204	0
1205	2
1206	1
1207	1
1208	1
1209	1
1210	1
1211	1
1212	1
1213	3
1214	2
1215	1
1216	6
1217	2
1218	0
1219	7
1220	3
1221	4
1222	2
1223	2
1224	3
1225	6
1226	3
1227	6
1228	1
1229	5
1230	6
1231	2
1232	7
1233	4
