Filename:  P:\FYS-1320-compton-data\125.mca
Description:  
TimeStamp:  03/09/2017 11:38:00

Calibration Information
Label:  Channel
Channel	Value
623.7	13.95
795.56	17.74
2664.63	59.54
A	B	C
-0.0131686	0.0223487	0

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	3
38	4
39	0
40	1
41	1
42	2
43	3
44	5
45	1
46	1
47	2
48	7
49	8
50	4
51	4
52	4
53	4
54	4
55	4
56	7
57	7
58	5
59	3
60	10
61	12
62	6
63	8
64	5
65	9
66	10
67	10
68	7
69	10
70	10
71	13
72	15
73	12
74	10
75	12
76	11
77	13
78	9
79	11
80	18
81	18
82	10
83	7
84	10
85	15
86	19
87	15
88	11
89	12
90	15
91	22
92	13
93	18
94	15
95	23
96	15
97	8
98	15
99	5
100	7
101	14
102	18
103	17
104	9
105	11
106	10
107	7
108	17
109	8
110	14
111	11
112	19
113	17
114	10
115	15
116	9
117	5
118	13
119	16
120	16
121	12
122	11
123	9
124	14
125	13
126	10
127	11
128	16
129	12
130	14
131	9
132	7
133	10
134	10
135	18
136	10
137	15
138	12
139	14
140	10
141	10
142	16
143	18
144	6
145	8
146	8
147	4
148	9
149	8
150	7
151	10
152	11
153	12
154	11
155	6
156	8
157	8
158	7
159	12
160	19
161	16
162	10
163	9
164	10
165	16
166	8
167	10
168	10
169	13
170	12
171	9
172	11
173	12
174	10
175	8
176	6
177	8
178	7
179	7
180	13
181	7
182	9
183	5
184	12
185	8
186	19
187	9
188	11
189	10
190	9
191	8
192	15
193	6
194	8
195	10
196	7
197	7
198	8
199	9
200	15
201	8
202	11
203	10
204	6
205	15
206	6
207	9
208	5
209	11
210	6
211	9
212	8
213	7
214	14
215	16
216	14
217	8
218	5
219	8
220	5
221	8
222	8
223	8
224	9
225	8
226	13
227	12
228	9
229	9
230	10
231	13
232	11
233	9
234	8
235	9
236	15
237	8
238	10
239	11
240	10
241	12
242	7
243	6
244	13
245	16
246	7
247	11
248	14
249	7
250	13
251	15
252	6
253	4
254	8
255	9
256	10
257	9
258	19
259	15
260	6
261	11
262	8
263	9
264	8
265	14
266	14
267	19
268	15
269	12
270	4
271	11
272	13
273	5
274	14
275	7
276	10
277	5
278	7
279	13
280	8
281	7
282	16
283	12
284	18
285	19
286	18
287	16
288	11
289	10
290	22
291	14
292	17
293	13
294	13
295	3
296	6
297	11
298	8
299	6
300	12
301	10
302	5
303	6
304	4
305	12
306	9
307	10
308	9
309	10
310	12
311	15
312	13
313	14
314	8
315	12
316	9
317	9
318	11
319	12
320	12
321	12
322	12
323	6
324	7
325	6
326	13
327	9
328	8
329	9
330	8
331	12
332	15
333	19
334	15
335	15
336	9
337	14
338	5
339	11
340	10
341	9
342	14
343	12
344	12
345	9
346	11
347	11
348	8
349	3
350	8
351	16
352	13
353	7
354	7
355	13
356	8
357	6
358	14
359	14
360	11
361	14
362	10
363	13
364	13
365	11
366	15
367	10
368	5
369	11
370	8
371	12
372	6
373	9
374	8
375	9
376	3
377	7
378	13
379	5
380	6
381	7
382	6
383	18
384	14
385	20
386	13
387	6
388	16
389	11
390	11
391	16
392	12
393	9
394	7
395	10
396	5
397	9
398	1
399	6
400	4
401	2
402	10
403	4
404	3
405	4
406	5
407	3
408	8
409	2
410	0
411	4
412	4
413	8
414	6
415	3
416	4
417	4
418	4
419	12
420	5
421	4
422	5
423	3
424	3
425	4
426	3
427	6
428	3
429	6
430	6
431	4
432	5
433	1
434	0
435	4
436	4
437	0
438	1
439	5
440	2
441	2
442	3
443	2
444	1
445	1
446	3
447	4
448	3
449	5
450	4
451	3
452	4
453	5
454	3
455	1
456	0
457	2
458	3
459	5
460	1
461	3
462	2
463	6
464	3
465	8
466	7
467	18
468	14
469	18
470	20
471	24
472	33
473	26
474	26
475	25
476	18
477	17
478	11
479	10
480	9
481	5
482	7
483	5
484	2
485	5
486	3
487	4
488	4
489	1
490	5
491	3
492	0
493	8
494	4
495	1
496	3
497	1
498	2
499	0
500	2
501	0
502	5
503	2
504	1
505	4
506	2
507	2
508	1
509	0
510	3
511	1
512	2
513	4
514	3
515	0
516	1
517	0
518	1
519	2
520	0
521	2
522	0
523	0
524	0
525	0
526	1
527	0
528	1
529	1
530	2
531	1
532	1
533	1
534	1
535	1
536	1
537	3
538	0
539	2
540	1
541	0
542	2
543	1
544	2
545	5
546	3
547	2
548	3
549	4
550	3
551	5
552	12
553	9
554	7
555	5
556	8
557	11
558	18
559	14
560	13
561	23
562	24
563	29
564	20
565	32
566	28
567	25
568	20
569	31
570	28
571	15
572	22
573	15
574	13
575	8
576	5
577	6
578	7
579	10
580	8
581	5
582	10
583	6
584	3
585	4
586	3
587	4
588	4
589	2
590	2
591	2
592	4
593	2
594	2
595	1
596	2
597	0
598	2
599	1
600	3
601	0
602	0
603	1
604	2
605	2
606	0
607	0
608	0
609	0
610	2
611	0
612	0
613	0
614	0
615	1
616	0
617	0
618	2
619	0
620	1
621	0
622	0
623	1
624	1
625	0
626	1
627	0
628	2
629	0
630	1
631	2
632	1
633	1
634	1
635	1
636	0
637	1
638	0
639	1
640	3
641	1
642	0
643	0
644	1
645	2
646	0
647	0
648	1
649	0
650	1
651	1
652	0
653	2
654	2
655	1
656	3
657	3
658	4
659	2
660	2
661	0
662	4
663	2
664	3
665	0
666	2
667	2
668	5
669	1
670	1
671	1
672	2
673	2
674	2
675	2
676	2
677	1
678	4
679	4
680	1
681	1
682	6
683	0
684	2
685	2
686	3
687	4
688	2
689	1
690	1
691	3
692	2
693	2
694	0
695	0
696	2
697	2
698	1
699	1
700	1
701	2
702	3
703	4
704	3
705	3
706	0
707	3
708	0
709	2
710	1
711	0
712	0
713	0
714	1
715	0
716	1
717	1
718	0
719	0
720	0
721	1
722	0
723	0
724	0
725	0
726	1
727	0
728	0
729	0
730	4
731	0
732	3
733	0
734	1
735	1
736	0
737	0
738	0
739	0
740	1
741	0
742	1
743	0
744	0
745	0
746	3
747	1
748	0
749	1
750	1
751	2
752	0
753	1
754	1
755	0
756	0
757	0
758	0
759	0
760	0
761	2
762	2
763	0
764	1
765	2
766	0
767	0
768	0
769	0
770	1
771	1
772	1
773	2
774	0
775	2
776	0
777	0
778	2
779	1
780	1
781	1
782	1
783	0
784	2
785	1
786	2
787	0
788	1
789	1
790	1
791	0
792	0
793	0
794	0
795	0
796	1
797	0
798	0
799	2
800	0
801	1
802	0
803	0
804	2
805	2
806	0
807	0
808	0
809	1
810	0
811	1
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	1
822	2
823	0
824	1
825	1
826	0
827	0
828	1
829	0
830	0
831	1
832	0
833	0
834	0
835	0
836	0
837	1
838	0
839	1
840	0
841	1
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	1
850	0
851	0
852	0
853	0
854	1
855	0
856	0
857	0
858	1
859	2
860	0
861	0
862	0
863	2
864	0
865	0
866	1
867	0
868	0
869	0
870	1
871	0
872	2
873	0
874	0
875	0
876	1
877	0
878	0
879	1
880	2
881	0
882	0
883	0
884	1
885	0
886	0
887	1
888	0
889	2
890	0
891	0
892	0
893	1
894	0
895	0
896	0
897	0
898	1
899	1
900	0
901	0
902	2
903	2
904	0
905	1
906	1
907	1
908	2
909	1
910	0
911	0
912	3
913	1
914	0
915	0
916	0
917	0
918	2
919	0
920	2
921	2
922	1
923	0
924	1
925	0
926	0
927	3
928	0
929	0
930	1
931	0
932	1
933	0
934	0
935	2
936	2
937	1
938	1
939	0
940	2
941	0
942	0
943	3
944	0
945	0
946	1
947	0
948	1
949	1
950	0
951	1
952	1
953	1
954	0
955	2
956	2
957	4
958	0
959	2
960	1
961	0
962	1
963	2
964	0
965	3
966	2
967	2
968	1
969	3
970	1
971	0
972	2
973	5
974	4
975	2
976	6
977	8
978	14
979	11
980	14
981	18
982	24
983	19
984	30
985	22
986	35
987	30
988	40
989	40
990	50
991	39
992	40
993	36
994	35
995	56
996	39
997	41
998	21
999	25
1000	21
1001	12
1002	9
1003	15
1004	15
1005	7
1006	2
1007	6
1008	1
1009	3
1010	2
1011	1
1012	1
1013	0
1014	0
1015	3
1016	1
1017	2
1018	1
1019	7
1020	5
1021	9
1022	14
1023	16
1024	12
1025	17
1026	28
1027	34
1028	22
1029	36
1030	27
1031	44
1032	50
1033	46
1034	51
1035	54
1036	40
1037	54
1038	50
1039	43
1040	45
1041	34
1042	38
1043	35
1044	28
1045	27
1046	20
1047	13
1048	19
1049	16
1050	5
1051	6
1052	6
1053	3
1054	3
1055	1
1056	1
1057	1
1058	0
1059	0
1060	1
1061	1
1062	1
1063	0
1064	0
1065	2
1066	2
1067	1
1068	2
1069	0
1070	2
1071	1
1072	0
1073	0
1074	1
1075	0
1076	2
1077	1
1078	3
1079	4
1080	0
1081	2
1082	0
1083	0
1084	2
1085	2
1086	1
1087	3
1088	0
1089	2
1090	1
1091	1
1092	1
1093	0
1094	0
1095	2
1096	0
1097	0
1098	1
1099	1
1100	4
1101	2
1102	0
1103	2
1104	1
1105	4
1106	0
1107	4
1108	1
1109	6
1110	2
1111	8
1112	13
1113	9
1114	6
1115	15
1116	17
1117	13
1118	21
1119	19
1120	17
1121	17
1122	18
1123	10
1124	21
1125	25
1126	24
1127	18
1128	22
1129	20
1130	18
1131	11
1132	20
1133	16
1134	17
1135	14
1136	15
1137	8
1138	9
1139	14
1140	7
1141	6
1142	10
1143	4
1144	4
1145	3
1146	3
1147	1
1148	4
1149	1
1150	5
1151	1
1152	2
1153	2
1154	2
1155	1
1156	2
1157	2
1158	3
1159	5
1160	7
1161	6
1162	4
1163	10
1164	3
1165	12
1166	9
1167	5
1168	11
1169	11
1170	7
1171	8
1172	10
1173	10
1174	7
1175	8
1176	13
1177	4
1178	8
1179	4
1180	3
1181	6
1182	9
1183	3
1184	4
1185	3
1186	4
1187	5
1188	1
1189	6
1190	1
1191	3
1192	5
1193	4
1194	2
1195	2
1196	3
1197	1
1198	3
1199	2
1200	0
1201	0
1202	0
1203	1
1204	0
1205	2
1206	0
1207	1
1208	1
1209	2
1210	1
1211	1
1212	1
1213	4
1214	2
1215	3
1216	5
1217	2
1218	0
1219	1
1220	2
1221	2
1222	1
1223	1
1224	2
1225	2
1226	2
1227	3
1228	1
1229	5
1230	1
1231	1
1232	7
1233	0
1234	5
1235	2
1236	1
1237	2
1238	1
1239	3
1240	0
1241	2
1242	1
1243	1
1244	3
1245	1
1246	0
1247	0
1248	0
1249	1
1250	0
1251	0
1252	1
1253	0
1254	0
1255	0
1256	0
1257	0
1258	0
1259	2
1260	0
