Filename:  P:\FYS-1320-compton-data\block-80.mca
Description:  
TimeStamp:  03/09/2017 12:10:28

Calibration Information
Label:  Channel
Channel	Value
623.7	13.95
795.56	17.74
2664.63	59.54
A	B	C
-0.0131686	0.0223487	0

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	1
39	1
40	0
41	0
42	2
43	3
44	2
45	3
46	3
47	3
48	2
49	5
50	1
51	2
52	4
53	1
54	4
55	4
56	5
57	5
58	6
59	3
60	5
61	3
62	9
63	9
64	4
65	1
66	13
67	6
68	9
69	8
70	7
71	14
72	4
73	3
74	10
75	5
76	3
77	4
78	6
79	9
80	4
81	11
82	10
83	3
84	7
85	7
86	6
87	6
88	12
89	13
90	15
91	9
92	8
93	8
94	8
95	8
96	11
97	8
98	8
99	10
100	6
101	9
102	5
103	12
104	9
105	7
106	9
107	13
108	8
109	7
110	7
111	8
112	14
113	11
114	6
115	11
116	9
117	15
118	11
119	14
120	7
121	3
122	7
123	6
124	8
125	6
126	8
127	9
128	6
129	9
130	1
131	12
132	9
133	8
134	6
135	8
136	7
137	9
138	6
139	7
140	10
141	7
142	9
143	4
144	5
145	9
146	6
147	11
148	8
149	4
150	5
151	9
152	7
153	9
154	12
155	3
156	6
157	6
158	7
159	4
160	7
161	8
162	5
163	4
164	12
165	9
166	5
167	3
168	4
169	5
170	5
171	7
172	7
173	13
174	8
175	10
176	3
177	10
178	7
179	5
180	9
181	5
182	8
183	2
184	10
185	9
186	4
187	5
188	10
189	4
190	5
191	3
192	6
193	6
194	4
195	5
196	9
197	8
198	4
199	3
200	4
201	3
202	3
203	5
204	2
205	5
206	8
207	6
208	8
209	5
210	3
211	2
212	12
213	3
214	5
215	5
216	8
217	7
218	6
219	1
220	9
221	6
222	6
223	5
224	1
225	1
226	5
227	5
228	6
229	5
230	3
231	6
232	5
233	7
234	2
235	12
236	8
237	16
238	16
239	10
240	12
241	9
242	12
243	15
244	16
245	14
246	10
247	11
248	9
249	14
250	6
251	5
252	10
253	7
254	8
255	5
256	6
257	7
258	8
259	7
260	11
261	6
262	10
263	6
264	14
265	9
266	7
267	9
268	5
269	4
270	11
271	6
272	4
273	7
274	5
275	9
276	4
277	9
278	13
279	19
280	21
281	9
282	24
283	23
284	33
285	39
286	37
287	46
288	42
289	45
290	22
291	20
292	23
293	14
294	16
295	12
296	12
297	6
298	6
299	9
300	5
301	8
302	6
303	10
304	9
305	5
306	5
307	6
308	3
309	9
310	12
311	11
312	11
313	9
314	13
315	10
316	14
317	12
318	12
319	10
320	13
321	10
322	11
323	4
324	5
325	9
326	10
327	10
328	8
329	11
330	9
331	13
332	13
333	17
334	15
335	15
336	12
337	8
338	7
339	16
340	10
341	11
342	6
343	5
344	10
345	10
346	5
347	10
348	6
349	3
350	11
351	9
352	6
353	8
354	7
355	7
356	7
357	7
358	11
359	9
360	5
361	12
362	6
363	5
364	11
365	5
366	10
367	4
368	4
369	7
370	13
371	5
372	10
373	8
374	8
375	6
376	7
377	6
378	5
379	8
380	8
381	13
382	6
383	12
384	9
385	14
386	11
387	10
388	10
389	13
390	8
391	9
392	5
393	7
394	8
395	6
396	11
397	6
398	3
399	5
400	5
401	8
402	2
403	4
404	3
405	6
406	2
407	5
408	6
409	9
410	4
411	8
412	8
413	6
414	6
415	6
416	3
417	8
418	7
419	6
420	4
421	5
422	4
423	4
424	7
425	8
426	5
427	9
428	10
429	4
430	4
431	3
432	4
433	6
434	11
435	2
436	2
437	8
438	5
439	1
440	5
441	4
442	7
443	6
444	4
445	3
446	5
447	7
448	6
449	2
450	1
451	3
452	6
453	3
454	5
455	3
456	2
457	1
458	4
459	1
460	4
461	1
462	5
463	2
464	2
465	1
466	5
467	4
468	4
469	4
470	6
471	10
472	3
473	10
474	10
475	6
476	8
477	9
478	3
479	4
480	1
481	6
482	6
483	2
484	2
485	4
486	3
487	3
488	4
489	4
490	2
491	2
492	5
493	1
494	1
495	2
496	2
497	3
498	3
499	4
500	2
501	2
502	2
503	1
504	1
505	3
506	3
507	0
508	4
509	3
510	4
511	1
512	1
513	1
514	2
515	2
516	2
517	0
518	2
519	4
520	1
521	4
522	0
523	3
524	3
525	1
526	0
527	4
528	0
529	2
530	0
531	0
532	0
533	1
534	0
535	2
536	3
537	4
538	0
539	2
540	1
541	1
542	2
543	1
544	0
545	2
546	4
547	3
548	0
549	2
550	2
551	3
552	3
553	4
554	1
555	4
556	4
557	2
558	3
559	3
560	5
561	4
562	3
563	4
564	7
565	2
566	6
567	7
568	8
569	9
570	4
571	2
572	1
573	5
574	4
575	1
576	1
577	3
578	2
579	1
580	0
581	1
582	0
583	2
584	1
585	2
586	1
587	0
588	2
589	2
590	0
591	0
592	1
593	1
594	1
595	1
596	0
597	2
598	0
599	4
600	0
601	0
602	1
603	0
604	2
605	1
606	2
607	0
608	0
609	1
610	0
611	0
612	0
613	1
614	0
615	2
616	2
617	0
618	0
619	0
620	1
621	1
622	1
623	0
624	1
625	0
626	2
627	4
628	0
629	1
630	0
631	1
632	0
633	1
634	1
635	0
636	0
637	0
638	2
639	1
640	2
641	2
642	0
643	1
644	1
645	0
646	1
647	0
648	0
649	1
650	1
651	0
652	1
653	0
654	0
655	1
656	0
657	0
658	1
659	3
660	1
661	0
662	3
663	3
664	3
665	1
666	1
667	2
668	1
669	3
670	1
671	2
672	0
673	0
674	1
675	0
676	2
677	0
678	2
679	0
680	2
681	0
682	2
683	1
684	0
685	1
686	0
687	0
688	1
689	0
690	1
691	0
692	0
693	0
694	0
695	1
696	0
697	2
698	0
699	0
700	2
701	0
702	2
703	0
704	1
705	0
706	0
707	1
708	1
709	2
710	2
711	1
712	1
713	0
714	2
715	0
716	0
717	1
718	0
719	1
720	2
721	2
722	0
723	0
724	1
725	2
726	2
727	1
728	0
729	0
730	1
731	1
732	1
733	0
734	0
735	0
736	1
737	0
738	0
739	1
740	0
741	0
742	0
743	1
744	0
745	0
746	0
747	0
748	0
749	1
750	1
751	0
752	0
753	0
754	1
755	1
756	0
757	0
758	1
759	1
760	2
761	0
762	1
763	1
764	0
765	0
766	1
767	1
768	3
769	1
770	1
771	3
772	2
773	6
774	13
775	11
776	7
777	14
778	14
779	15
780	19
781	12
782	29
783	15
784	13
785	14
786	15
787	14
788	10
789	9
790	5
791	3
792	5
793	2
794	3
795	1
796	1
797	1
798	2
799	2
800	0
801	0
802	2
803	1
804	0
805	0
806	0
807	2
808	0
809	0
810	0
811	1
812	0
813	0
814	0
815	0
816	1
817	1
818	1
819	0
820	1
821	1
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	1
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	1
840	0
841	0
842	1
843	0
844	0
845	0
846	0
847	0
848	0
849	1
850	0
851	0
852	0
853	1
854	0
855	1
856	0
857	0
858	1
859	0
860	0
861	1
862	0
863	1
864	3
865	0
866	1
867	0
868	0
869	2
870	3
871	0
872	2
873	6
874	2
875	1
876	4
877	6
878	4
879	5
880	3
881	5
882	4
883	7
884	2
885	2
886	1
887	4
888	2
889	2
890	0
891	3
892	1
893	2
894	1
895	0
896	2
897	1
898	0
899	1
900	1
901	2
902	0
903	0
904	2
905	0
906	0
907	1
908	0
909	0
910	1
911	1
912	0
913	0
914	0
915	2
916	0
917	2
918	0
919	2
920	1
921	1
922	1
923	1
924	0
925	1
926	1
927	0
928	1
929	0
930	0
931	0
932	2
933	1
934	1
935	2
936	0
937	2
938	1
939	2
940	1
941	1
942	0
943	3
944	1
945	0
946	0
947	0
948	0
949	1
950	0
951	1
952	0
953	1
954	0
955	0
956	2
957	0
958	3
959	0
960	1
961	0
962	1
963	2
964	1
965	0
966	0
967	0
968	1
969	1
970	1
971	1
972	2
973	4
974	0
975	5
976	0
977	4
978	8
979	5
980	11
981	18
982	15
983	18
984	33
985	23
986	30
987	16
988	27
989	38
990	30
991	33
992	30
993	31
994	22
995	28
996	26
997	29
998	19
999	12
1000	12
1001	13
1002	10
1003	3
1004	5
1005	3
1006	0
1007	0
1008	2
1009	0
1010	3
1011	2
1012	0
1013	0
1014	2
1015	3
1016	0
1017	0
1018	0
1019	1
1020	2
1021	3
1022	8
1023	7
1024	10
1025	10
1026	10
1027	6
1028	11
1029	14
1030	18
1031	21
1032	15
1033	20
1034	13
1035	20
1036	14
1037	30
1038	29
1039	15
1040	13
1041	15
1042	22
1043	17
1044	16
1045	5
1046	9
1047	4
1048	5
1049	8
1050	1
1051	0
1052	2
1053	0
1054	0
1055	1
1056	1
1057	1
1058	0
1059	1
1060	0
1061	0
1062	1
1063	1
1064	1
1065	0
1066	2
1067	0
1068	1
1069	0
1070	1
1071	0
1072	0
1073	1
1074	0
1075	0
1076	0
1077	0
1078	0
1079	3
1080	0
1081	0
1082	0
1083	0
1084	0
1085	0
1086	0
1087	0
1088	0
1089	0
1090	1
1091	0
1092	0
1093	1
1094	1
1095	1
1096	1
1097	0
1098	0
1099	0
1100	0
1101	0
1102	1
1103	1
1104	0
1105	2
1106	2
1107	2
1108	1
1109	7
1110	4
1111	10
1112	3
1113	8
1114	5
1115	11
1116	17
1117	9
1118	8
1119	10
1120	8
1121	11
1122	11
1123	10
1124	13
1125	12
1126	19
1127	11
1128	13
1129	7
1130	10
1131	7
1132	14
1133	12
1134	12
1135	6
1136	8
1137	11
1138	5
1139	3
1140	6
1141	9
1142	7
1143	4
1144	4
1145	4
1146	0
1147	0
1148	0
1149	0
1150	2
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	2
1158	2
1159	1
1160	5
1161	5
1162	0
1163	2
1164	5
1165	2
1166	1
1167	7
1168	3
1169	2
1170	6
1171	8
1172	6
1173	4
1174	5
1175	3
1176	5
1177	3
1178	3
1179	2
1180	4
1181	4
1182	1
1183	3
1184	3
1185	0
1186	1
1187	4
1188	3
1189	0
1190	1
1191	0
1192	1
1193	0
1194	2
1195	1
1196	2
1197	0
1198	1
1199	0
1200	2
1201	0
1202	0
1203	0
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	1
1213	2
1214	0
1215	0
1216	0
1217	0
1218	0
1219	1
1220	3
1221	1
1222	2
1223	2
1224	0
1225	4
1226	1
1227	0
1228	4
1229	0
1230	1
1231	4
1232	1
1233	0
1234	4
1235	2
1236	4
1237	0
1238	0
1239	2
1240	1
1241	0
1242	0
1243	0
1244	1
1245	1
1246	0
1247	0
1248	0
1249	0
1250	1
1251	0
1252	0
1253	0
1254	1
1255	1
1256	0
1257	0
1258	0
1259	0
