Filename:  P:\FYS-1320-compton-data\calibration_e.mca
Description:  
TimeStamp:  03/09/2017 09:19:04

Calibration Information
Label:  Channel
Channel	Value
623.7	13.95
795.56	17.74
2664.63	59.54
A	B	C
-0.0131686	0.0223487	0

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
13.51	14.16	0.216	3518	4736	13.93	2.19	GOOD
17.37	18.16	0.297	3191	3786	17.77	2.07	GOOD
58.88	60.13	0.287	742	797	59.54	3.93	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	2
38	0
39	0
40	3
41	1
42	0
43	0
44	0
45	3
46	4
47	3
48	1
49	2
50	3
51	5
52	4
53	5
54	4
55	3
56	4
57	2
58	5
59	1
60	3
61	9
62	4
63	9
64	7
65	4
66	6
67	9
68	5
69	5
70	4
71	8
72	9
73	5
74	13
75	3
76	10
77	6
78	6
79	9
80	8
81	6
82	9
83	7
84	8
85	7
86	7
87	5
88	9
89	7
90	6
91	9
92	6
93	14
94	3
95	10
96	6
97	9
98	6
99	6
100	3
101	5
102	10
103	8
104	5
105	6
106	5
107	6
108	9
109	9
110	13
111	3
112	9
113	9
114	6
115	8
116	9
117	3
118	6
119	5
120	4
121	13
122	11
123	3
124	6
125	3
126	5
127	11
128	6
129	7
130	6
131	5
132	6
133	7
134	12
135	11
136	5
137	7
138	4
139	8
140	3
141	6
142	11
143	3
144	7
145	12
146	4
147	8
148	9
149	10
150	6
151	10
152	5
153	6
154	5
155	4
156	13
157	6
158	10
159	5
160	9
161	8
162	7
163	4
164	9
165	10
166	5
167	9
168	7
169	5
170	6
171	8
172	6
173	8
174	1
175	3
176	7
177	7
178	4
179	7
180	5
181	1
182	4
183	9
184	7
185	8
186	5
187	5
188	11
189	3
190	2
191	5
192	4
193	5
194	4
195	3
196	4
197	6
198	6
199	5
200	1
201	1
202	9
203	8
204	7
205	4
206	8
207	8
208	6
209	4
210	7
211	6
212	5
213	5
214	9
215	4
216	8
217	7
218	10
219	6
220	7
221	2
222	7
223	7
224	7
225	7
226	8
227	2
228	9
229	12
230	6
231	6
232	6
233	6
234	3
235	13
236	9
237	6
238	10
239	12
240	9
241	6
242	20
243	17
244	9
245	11
246	6
247	9
248	6
249	7
250	9
251	8
252	6
253	6
254	4
255	3
256	6
257	7
258	4
259	2
260	4
261	3
262	10
263	7
264	9
265	9
266	10
267	6
268	7
269	3
270	6
271	6
272	7
273	3
274	5
275	5
276	14
277	16
278	13
279	16
280	6
281	14
282	28
283	22
284	23
285	38
286	29
287	19
288	22
289	15
290	16
291	17
292	20
293	14
294	8
295	3
296	10
297	7
298	5
299	5
300	9
301	6
302	2
303	5
304	3
305	8
306	7
307	1
308	5
309	6
310	7
311	4
312	7
313	14
314	7
315	13
316	9
317	14
318	4
319	7
320	6
321	13
322	9
323	4
324	9
325	7
326	13
327	20
328	8
329	11
330	10
331	15
332	10
333	7
334	7
335	8
336	7
337	10
338	14
339	10
340	7
341	10
342	7
343	4
344	5
345	6
346	5
347	4
348	6
349	9
350	13
351	5
352	10
353	5
354	7
355	12
356	10
357	5
358	8
359	5
360	6
361	9
362	9
363	5
364	12
365	5
366	7
367	6
368	9
369	5
370	6
371	5
372	4
373	8
374	6
375	9
376	4
377	8
378	8
379	7
380	14
381	11
382	13
383	11
384	14
385	13
386	8
387	12
388	20
389	17
390	11
391	11
392	11
393	6
394	10
395	8
396	14
397	7
398	7
399	8
400	3
401	5
402	5
403	6
404	3
405	10
406	6
407	13
408	4
409	9
410	9
411	11
412	4
413	5
414	2
415	6
416	7
417	3
418	8
419	5
420	4
421	4
422	4
423	4
424	9
425	8
426	9
427	5
428	7
429	2
430	3
431	4
432	7
433	5
434	4
435	5
436	8
437	5
438	8
439	5
440	2
441	4
442	6
443	6
444	4
445	5
446	6
447	3
448	5
449	1
450	4
451	2
452	3
453	4
454	8
455	2
456	5
457	4
458	4
459	7
460	5
461	5
462	6
463	5
464	12
465	4
466	7
467	13
468	12
469	21
470	16
471	29
472	15
473	23
474	29
475	13
476	22
477	7
478	22
479	9
480	4
481	10
482	9
483	3
484	4
485	4
486	2
487	2
488	3
489	7
490	4
491	3
492	5
493	2
494	1
495	2
496	0
497	2
498	0
499	0
500	6
501	3
502	3
503	4
504	3
505	2
506	5
507	2
508	3
509	2
510	5
511	4
512	8
513	1
514	5
515	4
516	0
517	5
518	5
519	2
520	4
521	2
522	5
523	8
524	8
525	11
526	20
527	16
528	22
529	22
530	30
531	31
532	25
533	36
534	31
535	25
536	22
537	17
538	17
539	8
540	11
541	10
542	6
543	4
544	7
545	2
546	4
547	7
548	4
549	5
550	1
551	2
552	1
553	11
554	12
555	5
556	7
557	8
558	15
559	9
560	15
561	10
562	12
563	12
564	15
565	27
566	23
567	24
568	35
569	16
570	14
571	9
572	11
573	12
574	9
575	13
576	1
577	7
578	9
579	1
580	6
581	4
582	4
583	4
584	2
585	2
586	3
587	6
588	3
589	5
590	4
591	6
592	6
593	4
594	2
595	9
596	7
597	8
598	5
599	9
600	13
601	9
602	12
603	9
604	3
605	9
606	6
607	13
608	24
609	23
610	25
611	32
612	51
613	61
614	73
615	99
616	117
617	135
618	159
619	175
620	236
621	288
622	333
623	346
624	333
625	394
626	332
627	337
628	315
629	246
630	203
631	168
632	114
633	98
634	78
635	44
636	41
637	27
638	20
639	13
640	11
641	3
642	7
643	5
644	1
645	0
646	2
647	4
648	1
649	1
650	5
651	7
652	5
653	5
654	2
655	3
656	6
657	5
658	2
659	3
660	4
661	5
662	6
663	3
664	3
665	5
666	4
667	3
668	1
669	1
670	4
671	1
672	2
673	2
674	3
675	3
676	3
677	3
678	0
679	2
680	2
681	4
682	1
683	1
684	2
685	3
686	3
687	2
688	1
689	3
690	2
691	4
692	2
693	2
694	2
695	1
696	4
697	2
698	1
699	4
700	3
701	4
702	6
703	8
704	7
705	6
706	7
707	10
708	11
709	13
710	11
711	11
712	11
713	14
714	11
715	6
716	14
717	13
718	14
719	9
720	6
721	10
722	4
723	9
724	6
725	13
726	12
727	6
728	6
729	9
730	5
731	6
732	4
733	5
734	9
735	3
736	4
737	3
738	2
739	11
740	4
741	5
742	8
743	15
744	10
745	16
746	22
747	13
748	27
749	45
750	45
751	69
752	53
753	64
754	69
755	74
756	90
757	67
758	71
759	75
760	72
761	67
762	70
763	54
764	62
765	58
766	45
767	41
768	39
769	40
770	32
771	24
772	28
773	30
774	13
775	17
776	33
777	29
778	28
779	22
780	38
781	32
782	36
783	45
784	55
785	56
786	92
787	97
788	129
789	132
790	184
791	184
792	198
793	228
794	224
795	237
796	219
797	236
798	219
799	199
800	170
801	142
802	124
803	118
804	83
805	60
806	44
807	51
808	44
809	30
810	22
811	14
812	22
813	7
814	8
815	10
816	6
817	5
818	4
819	3
820	2
821	1
822	2
823	0
824	1
825	1
826	1
827	0
828	0
829	2
830	2
831	4
832	5
833	4
834	3
835	3
836	1
837	3
838	2
839	3
840	2
841	2
842	2
843	2
844	3
845	4
846	1
847	3
848	0
849	1
850	0
851	1
852	0
853	1
854	1
855	2
856	2
857	0
858	0
859	1
860	1
861	1
862	1
863	0
864	1
865	1
866	2
867	4
868	3
869	1
870	2
871	3
872	6
873	2
874	0
875	4
876	3
877	4
878	8
879	5
880	2
881	4
882	3
883	1
884	7
885	3
886	2
887	2
888	5
889	1
890	2
891	2
892	2
893	3
894	3
895	1
896	2
897	5
898	3
899	3
900	5
901	7
902	4
903	4
904	6
905	2
906	0
907	3
908	5
909	2
910	4
911	0
912	1
913	1
914	2
915	3
916	5
917	2
918	2
919	5
920	6
921	12
922	14
923	15
924	18
925	17
926	23
927	39
928	37
929	27
930	35
931	43
932	37
933	43
934	35
935	40
936	33
937	21
938	20
939	13
940	19
941	16
942	16
943	14
944	16
945	9
946	8
947	12
948	10
949	9
950	6
951	5
952	7
953	7
954	11
955	12
956	11
957	7
958	16
959	14
960	20
961	10
962	11
963	17
964	10
965	10
966	10
967	8
968	4
969	8
970	4
971	6
972	3
973	3
974	8
975	1
976	4
977	8
978	5
979	11
980	6
981	13
982	12
983	19
984	15
985	17
986	24
987	27
988	39
989	43
990	28
991	36
992	28
993	44
994	30
995	27
996	16
997	19
998	22
999	14
1000	12
1001	10
1002	12
1003	10
1004	5
1005	2
1006	3
1007	0
1008	1
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	2
1017	0
1018	0
1019	2
1020	0
1021	0
1022	0
1023	1
1024	0
1025	0
1026	0
1027	1
1028	0
1029	0
1030	2
1031	2
1032	1
1033	1
1034	0
1035	0
1036	1
1037	1
1038	2
1039	0
1040	0
1041	2
1042	1
1043	1
1044	1
1045	2
1046	2
1047	0
1048	0
1049	0
1050	0
1051	1
1052	0
1053	1
1054	0
1055	1
1056	1
1057	0
1058	0
1059	1
1060	0
1061	0
1062	2
1063	1
1064	1
1065	0
1066	1
1067	0
1068	0
1069	0
1070	2
1071	1
1072	0
1073	0
1074	0
1075	2
1076	1
1077	0
1078	1
1079	0
1080	0
1081	1
1082	1
1083	0
1084	0
1085	1
1086	0
1087	1
1088	0
1089	0
1090	0
1091	0
1092	0
1093	2
1094	2
1095	0
1096	0
1097	0
1098	0
1099	0
1100	2
1101	0
1102	1
1103	1
1104	1
1105	0
1106	5
1107	4
1108	5
1109	5
1110	7
1111	7
1112	2
1113	13
1114	9
1115	10
1116	11
1117	15
1118	11
1119	16
1120	9
1121	15
1122	20
1123	8
1124	11
1125	20
1126	9
1127	10
1128	11
1129	18
1130	12
1131	20
1132	13
1133	14
1134	8
1135	11
1136	19
1137	14
1138	13
1139	10
1140	5
1141	3
1142	9
1143	3
1144	2
1145	5
1146	1
1147	1
1148	0
1149	0
1150	0
1151	1
1152	0
1153	1
1154	0
1155	2
1156	1
1157	0
1158	0
1159	0
1160	1
1161	0
1162	0
1163	0
1164	0
1165	0
1166	3
1167	3
1168	4
1169	5
1170	5
1171	5
1172	9
1173	8
1174	9
1175	12
1176	12
1177	15
1178	8
1179	14
1180	15
1181	14
1182	14
1183	15
1184	15
1185	11
1186	12
1187	7
1188	8
1189	7
1190	7
1191	6
1192	4
1193	2
1194	1
1195	0
1196	1
1197	1
1198	1
1199	1
1200	0
1201	0
1202	0
1203	0
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	1
1211	1
1212	0
1213	2
1214	1
1215	1
1216	1
1217	1
1218	0
1219	1
1220	0
1221	0
1222	1
1223	3
1224	5
1225	1
1226	3
1227	2
1228	2
1229	4
1230	0
1231	1
